Route number,Origin,Destination
947,Bukit Batok Bus Interchange,Bukit Batok Road
950,Woodlands Temporary Bus Interchange,JB Sentral Bus Terminal
951E,Woodlands Street 82,Shenton Way
951E,Anson Road,Woodlands Street 82
960,Woodlands Bus Interchange,Marina Centre Bus Terminal
960e,Woodlands Bus Interchange,Marina Centre Bus Terminal
961,Woodlands Temporary Bus Interchange,Lorong 1 Geylang Bus Terminal
961M,Woodlands Temporary Bus Interchange,Lorong 1 Geylang Bus Terminal
962,Woodlands Bus Interchange,Admiralty Street
962B,Sembawang Drive (Opp Sun Plaza),Sembawang Drive (Sembawang MRT station/Sun Plaza)
962C,Woodlands Avenue 5,Woodlands Avenue 6 (Admiralty MRT)
963,Woodlands Bus Interchange,HarbourFront Bus Interchange
963e,Woodlands Bus Interchange,HarbourFront Bus Interchange
964,Woodlands Bus Interchange,Woodlands Link
965,Woodlands Temporary Bus Interchange,Sengkang Bus Interchange
965A,Woodlands Temporary Bus Interchange,Yishun Avenue 2 (Yishun MRT station)
966,Woodlands Bus Interchange,Marine Parade Road
966A,Woodlands Bus Interchange,Marine Parade Road
967,Woodlands Temporary Bus Interchange,Woodlands Health Campus
969,Woodlands Bus Interchange,Tampines Bus Interchange
969A,Tampines Bus Interchange,Yishun MRT station
970,Bukit Panjang Bus Interchange,Shenton Way Bus Terminal
972,Bukit Panjang Bus Interchange,Bencoolen Street
972A,Bukit Panjang Bus Interchange,Dhoby Ghaut MRT station
972M,Bukit Panjang Bus Interchange,Bencoolen Street
973,Bukit Panjang Bus Interchange,Hume Avenue
973A,Bukit Panjang Bus Interchange,Pending Road
974,Joo Koon Bus Interchange,Bukit Panjang MRT station
974A,Joo Koon Bus Interchange,Choa Chu Kang Avenue 4
975,Bukit Panjang Bus Interchange,Lim Chu Kang Road
975A,Choa Chu Kang MRT/LRT station,Brickland Road
975B,Choa Chu Kang MRT/LRT station,Lim Chu Kang Road
975C,Bukit Panjang Bus Interchange,Lim Chu Kang Road
976,Bukit Panjang Bus Interchange,Choa Chu Kang Bus Interchange
979,Bukit Panjang Bus Interchange,Choa Chu Kang Crescent
979X,Bukit Panjang Bus Interchange,Choa Chu Kang Crescent
980,Sembawang Bus Interchange,Lorong 1 Geylang Bus Terminal
981,Sembawang Bus Interchange,Senoko Road/Loop
981,Senoko Road/Loop,Sembawang Bus Interchange
982E,Choa Chu Kang Avenue 5,Marina Boulevard
982E,Central Boulevard,Choa Chu Kang Avenue 5
983,Choa Chu Kang Bus Interchange,Jelebu Road
983A,Choa Chu Kang Bus Interchange,Choa Chu Kang Road
983M,Choa Chu Kang Avenue 5,Teck Whye Crescent
985,Choa Chu Kang Bus Interchange,Lorong 1 Geylang Bus Terminal
990,Bukit Batok Bus Interchange,Jurong Gateway Road (Jurong East MRT station)
991,Bukit Batok Bus Interchange,Choa Chu Kang Bus Interchange
991A,Bukit Batok Bus Interchange,Bukit Batok West Avenue 3
991B,Choa Chu Kang Bus Interchange,Choa Chu Kang Avenue 1
991C,Choa Chu Kang Avenue 3,Bukit Batok West Avenue 5 (Bukit Gombak MRT station)
992,Bukit Batok Bus Interchange,Tengah Bus Interchange
993,Jurong East Bus Interchange,Bukit Batok West Avenue 8
AC7,Yishun Bus Interchange,Johor Bahru CIQ
CW1,Johor Bahru CIQ,Kranji MRT station
CW2,Johor Bahru CIQ,Queen Street Bus Terminal
CW3,Perling Mall Bus Terminal,Jurong Town Hall Bus Interchange
CW4,Pontian Bus Terminal,Jurong Town Hall Bus Interchange
CW4S,Sutera Mall Bus Terminal,Jurong Town Hall Bus Interchange
CW5,Johor Bahru CIQ,Newton Circus (Newton Food Centre)
CW6,Sultan Abu Bakar Complex,Boon Lay MRT station
CW7,Sultan Abu Bakar Complex,Tuas Link MRT station
Courts Megastore,Tampines MRT station,Courts Tampines
Giant/IKEA Bedok,Bedok MRT station,Giant/IKEA Tampines
IKEA Buona Vista,Buona Vista MRT station,IKEA Alexandra
Giant/IKEA Pasir Ris,Pasir Ris MRT station,Giant/IKEA Tampines
IKEA Redhill,Redhill MRT station,IKEA Alexandra
Giant/IKEA Sengkang,Sengkang MRT/LRT station,Giant/IKEA Tampines
IKEA Tiong Bahru,Tiong Bahru MRT station,IKEA Alexandra
Giant/IKEA Tampines,Tampines MRT station,Giant/IKEA Tampines
RWS8,HarbourFront MRT station,Resorts World Sentosa
TS1,Singapore Changi Airport,Johor Bahru CIQ
TS3,Marina Square,Johor Bahru CIQ
TS6,Buona Vista (The Star Vista),GP Sentral Bus Terminal
TS8,Resorts World Sentosa,Johor Bahru CIQ
SJE,Queen Street Bus Terminal,Larkin Sentral
LCS1,Tampines Avenue 9,Airport Cargo Road
LCS1,Airport Cargo Road ,Tampines Avenue 9 
LCS2,Punggol Way,Airport Cargo Road
LCS2,Airport Cargo Road ,Punggol Way 
911,Woodlands Bus Interchange,Woodlands Avenue 2 / Woodlands Centre Road
