Route number,Origin,Destination
96B,Kent Ridge Crescent (Aft Architecture Dr),Clementi MRT station
97,Jurong East Bus Interchange,Marina Centre Bus Terminal
97E,Jurong East Bus Interchange,Marina Centre Bus Terminal
98,Jurong East Bus Interchange,Jurong Pier Way (loop)
98A,Lakeside MRT station,Corporation Road (Corp Pl)
98B,Jurong West Avenue 1 (Blk 490),Jurong Pier Way (Jurong Island Checkpt)
98M,Jurong East Bus Interchange,Corporation Road (loop)
99,Clementi Bus Interchange,Joo Koon Bus Interchange
100,Serangoon Bus Interchange,Ghim Moh Bus Terminal
100A,Serangoon Bus Interchange,Aljunied MRT station
101,Serangoon Bus Interchange,Buangkok Crescent (loop)
102,Hougang Central Bus Interchange,Seletar Airport (loop)
102A,Sengkang MRT/LRT Station,Sengkang West Way
102B,Sengkang West Way (Blk 461B),Sengkang East Way (Opp Sengkang Stn/Blk 260A)
103,Serangoon Bus Interchange,Yishun Bus Interchange
105,Serangoon Bus Interchange,Jurong East Bus Interchange
105B,Jurong East Bus Interchange,Clementi MRT station
106,Bukit Batok Bus Interchange,Shenton Way Bus Terminal
106A,Bukit Batok Bus Interchange,Clementi MRT station
107,Hougang Central Bus Interchange,Shenton Way Bus Terminal
107M,Hougang Central Bus Interchange,Raffles Boulevard (loop)
109,Serangoon Bus Interchange,Changi Village Bus Terminal
109A,Serangoon Bus Interchange,Hougang Avenue 4
110,Buangkok Bus Interchange,Changi Airport (loop)
111,Ghim Moh Bus Terminal,Temasek Avenue (loop)
112,Hougang Central Bus Interchange,Hougang Street 92 (loop)
112A,Hougang Central Bus Interchange,Kovan MRT station
112B,Hougang Central Bus Interchange,Hougang Avenue 7
113,Hougang Central Bus Interchange,Hougang Street 11 (loop)
113A,Kovan Stn Exit C,Kovan Stn Exit B
114,Buangkok Bus Interchange,Buangkok Crescent (loop)
114A,Buangkok MRT station,Buangkok Crescent
115,Kovan Hub (Hougang Street 21),Hougang Avenue 3 (loop)
116,Hougang Central Bus Interchange,Serangoon Central (loop)
116A,Serangoon North Avenue 4,Serangoon Central (loop)
117,Punggol Bus Interchange,Sembawang Bus Interchange
117A,Yishun Avenue 1,Yishun Avenue 2
117M,Punggol Bus Interchange,Sembawang Bus Interchange
118,Punggol Bus Interchange,Changi Business Park Bus Terminal
118A,Punggol Bus Interchange,Simei Avenue
118B,Simei Avenue,Tampines Expressway
119,Punggol Temporary Bus Interchange,Kovan Hub (Hougang Street 21) (loop)
120,Kampong Bahru Bus Terminal,Telok Blangah Heights (loop)
121,Shenton Way Bus Terminal,Telok Blangah Crescent (loop)
122,Kampong Bahru Bus Terminal,Commonwealth Drive (loop)
123,Bukit Merah Bus Interchange,Beach Station Bus Terminal (Sentosa)
123M,HarbourFront Bus Interchange,Tiong Bahru Road (loop)
124,Saint Michael's Bus Terminal,HarbourFront Bus Interchange
125,Saint Michael's Bus Terminal,Sims Drive (loop)
125A,Aljunied Road,MacPherson Road
127,Tampines Bus Interchange,Tampines Industrial Avenue 5 (loop)
127A,Tampines Bus Interchange,Tampines North Drive 1
129,Tampines North Bus Interchange,Saint Michael's Bus Terminal
129A,Temasek Polytechnic,Bartley MRT station
129B,Bartley Road,Temasek Polytechnic
130,Ang Mo Kio Bus Interchange,Shenton Way Bus Terminal
131,Saint Michael's Bus Terminal,Bukit Merah Bus Interchange
131A,Saint Michael's Bus Terminal,Shenton Way
132,Hougang Central Bus Interchange,Bukit Merah Bus Interchange
133,Ang Mo Kio Bus Interchange,Shenton Way Bus Terminal
134,Sims Place Bus Terminal,Marine Terrace
135,Ang Mo Kio Bus Interchange,Kembangan MRT station
136,Ang Mo Kio Bus Interchange,Punggol Bus Interchange
137,Sims Place Bus Terminal,Upper East Coast Bus Terminal
137A,Bedok Stn Exit B,Bedok Nth Stn Exit A
138,Ang Mo Kio Bus Interchange,Singapore Zoo
138A,Ang Mo Kio Bus Interchange,Singapore Zoo
138C,Singapore Zoo,Springleaf MRT station
139,Toa Payoh Bus Interchange,Bukit Merah Bus Interchange
139A,Toa Payoh Bus Interchange,Jalan Bahagia
140,Lorong 1 Geylang Bus Terminal,St. Wilfred Road (loop)
141,Lorong 1 Geylang Bus Terminal,Toa Payoh Bus Interchange
142,Toa Payoh Bus Interchange,Potong Pasir Avenue 1 (loop)
142A,Toa Payoh Bus Interchange,Upper Serangoon Road
143,Toa Payoh Bus Interchange,Jurong East Bus Interchange
143M,Jurong East Bus Interchange,Pandan Gardens
145,Toa Payoh Bus Interchange,Buona Vista Bus Terminal
145A,Redhill MRT station,Henderson Road
146,Woodleigh Bus Interchange,Bartley Road
147,Hougang Central Bus Interchange,Clementi Bus Interchange
147A,Hougang Central Bus Interchange,New Bridge Road
148,Woodleigh Bus Interchange,Potong Pasir Avenue 1 (loop)
150,Eunos Bus Interchange,Marine Terrace (loop)
